h,x_SN,kappa_SN,a_SN,local_asymptotic_shift
-0.04,0.3692793578280443,1.1578995738513975,0.5284959949708692,0.15326188647871064
-0.02,0.2993046512373835,1.0983980980564285,0.47571791923833767,0.09654893846056299
-0.01,0.2408078309340283,1.0615580658914643,0.43906318704977004,0.06082201995573401
-0.005,0.19280288014406502,1.03860812865062,0.41295158906516566,0.03831547161967766
-0.002,0.14303800080885798,1.0208872194634995,0.38897096212895743,0.020800838230519047
0.0,0.0,1.0,0.3333333333333333,0.0
0.002,-0.14303800080885798,1.0208872194634995,0.29162051751337553,0.020800838230519047
0.005,-0.19280288014406502,1.03860812865062,0.2794538300352476,0.03831547161967766
0.01,-0.2408078309340283,1.0615580658914643,0.26864219021120617,0.06082201995573401
0.02,-0.2993046512373835,1.0983980980564285,0.25654747946594797,0.09654893846056299
0.04,-0.3692793578280443,1.1578995738513975,0.2434370542633958,0.15326188647871064
